number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,,2025-10-21 22:22:55.470816,2025-10-21 22:22:55.791985,0 days 00:00:00.321169,0.6624074561769746,0.22648248189516848,5,1.5702970884055387,2.5348407664333426e-07,3.3323645788192616e-08,0.8394633936788146,,FAIL
1,,2025-10-21 22:23:57.300323,2025-10-21 22:23:57.885978,0 days 00:00:00.585655,0.6624074561769746,0.22648248189516848,5,1.5702970884055387,2.5348407664333426e-07,3.3323645788192616e-08,0.8394633936788146,,FAIL
2,,2025-10-21 22:25:20.130425,2025-10-21 22:25:22.518547,0 days 00:00:02.388122,0.6624074561769746,0.22648248189516848,5,1.5702970884055387,2.5348407664333426e-07,3.3323645788192616e-08,0.8394633936788146,,FAIL
3,29645.20641932314,2025-10-21 22:28:36.102133,2025-10-21 22:28:43.674513,0 days 00:00:07.572380,0.6624074561769746,0.22648248189516848,5,1.5702970884055387,2.5348407664333426e-07,3.3323645788192616e-08,0.8394633936788146,,COMPLETE
4,28116.972619137283,2025-10-21 22:28:43.863124,2025-10-21 22:29:21.742931,0 days 00:00:37.879807,0.9879639408647978,0.030834348179355788,8,1.3311216080736887,0.31044435499483225,8.148018307012941e-07,0.608233797718321,,COMPLETE
5,37650.84788242608,2025-10-21 22:29:22.084674,2025-10-21 22:29:33.151653,0 days 00:00:11.066979,0.7727780074568463,0.002846526357761094,4,0.08179499475211674,4.17890272377219e-06,0.0032112643094417484,0.8099025726528951,,COMPLETE
6,29587.66158902811,2025-10-21 22:29:33.334648,2025-10-21 22:29:42.341684,0 days 00:00:09.007036,0.9837945292043758,0.09152505011834922,8,4.682157281770783,6.870071495989356,1.2242508736200751e-05,0.7048826380561076,"{""colsample_bytree"": 0.9837945292043758, ""learning_rate"": 0.09152505011834922, ""max_depth"": 8, ""min_child_weight"": 4.682157281770783, ""reg_alpha"": 6.870071495989356, ""reg_lambda"": 1.2242508736200751e-05, ""subsample"": 0.7048826380561076}",COMPLETE
7,28447.71867715062,2025-10-21 22:29:42.444109,2025-10-21 22:30:17.299518,0 days 00:00:34.855409,0.9730353339021954,0.014804745797790505,8,0.02777782246473495,0.23447791528703557,4.160446479815737e-08,0.7027168838807493,"{""colsample_bytree"": 0.9730353339021954, ""learning_rate"": 0.014804745797790505, ""max_depth"": 8, ""min_child_weight"": 0.02777782246473495, ""reg_alpha"": 0.23447791528703557, ""reg_lambda"": 4.160446479815737e-08, ""subsample"": 0.7027168838807493}",COMPLETE
8,25927.566839793348,2025-10-21 22:30:17.498099,2025-10-21 22:30:20.494788,0 days 00:00:02.996689,0.9405391521824078,0.015071891578284495,6,0.6507675389598812,1.3887347931009204e-06,3.955047851884415e-06,0.6238768043790349,"{""colsample_bytree"": 0.9405391521824078, ""learning_rate"": 0.015071891578284495, ""max_depth"": 6, ""min_child_weight"": 0.6507675389598812, ""reg_alpha"": 1.3887347931009204e-06, ""reg_lambda"": 3.955047851884415e-06, ""subsample"": 0.6238768043790349}",PRUNED
9,28105.982991908164,2025-10-21 22:30:20.575148,2025-10-21 22:30:38.880860,0 days 00:00:18.305712,0.7625842306993188,0.008121367322643494,8,1.0448088765526047,0.19739022466167233,1.0303827220932774e-05,0.7000053059051325,"{""colsample_bytree"": 0.7625842306993188, ""learning_rate"": 0.008121367322643494, ""max_depth"": 8, ""min_child_weight"": 1.0448088765526047, ""reg_alpha"": 0.19739022466167233, ""reg_lambda"": 1.0303827220932774e-05, ""subsample"": 0.7000053059051325}",COMPLETE
10,48898.85179208233,2025-10-21 22:30:38.952362,2025-10-21 22:30:40.900281,0 days 00:00:01.947919,0.6103415407144214,0.0014361770310447588,6,0.09442582804548286,0.2721876724590547,7.089916656561711e-05,0.6362410799601024,"{""colsample_bytree"": 0.6103415407144214, ""learning_rate"": 0.0014361770310447588, ""max_depth"": 6, ""min_child_weight"": 0.09442582804548286, ""reg_alpha"": 0.2721876724590547, ""reg_lambda"": 7.089916656561711e-05, ""subsample"": 0.6362410799601024}",PRUNED
